source_id,field,id,ra,dec,region,sky_group,sky_group_size,in_support,bands_complete,in_hviding25_A1,in_hviding25_B1,in_barro25,in_degraaff26,in_perger25,in_kocevski24,spectrum_eligible,test_evaluable_source,verdict_source,test_evaluable_row,verdict_row,label,label_strict,ambiguous,final_class,verdict_rule,ambiguity_reason,z_spec,z_spec_source,z_list,z_archive,archive_grade
205,primer-uds-north,62457,34.19835544719368,-5.117851209832065,UDS,192,2,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
381,primer-uds-north,63597,34.198834598909386,-5.116089888512369,UDS,341,2,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
451,primer-uds-north,64243,34.199039094182936,-5.115222248392361,UDS,420,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
672,primer-uds-north,62865,34.19977049298434,-5.117330945843389,UDS,627,2,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
696,primer-uds-north,64457,34.199860874437114,-5.1148341119313905,UDS,650,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
1139,primer-uds-north,48544,34.201248100374855,-5.137433027605581,UDS,1067,2,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
1567,primer-uds-north,51446,34.202446461969956,-5.133431190434851,UDS,1472,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
1706,primer-uds-north,60366,34.20286257825495,-5.121149616192228,UDS,1600,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
2464,primer-uds-north,59190,34.20541599407555,-5.1228105727169835,UDS,2321,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
2583,primer-uds-north,74752,34.205808284634855,-5.100499778536657,UDS,2436,1,True,True,False,True,True,False,False,False,True,True,False,True,False,1.0,False,False,spectroscopic LRD,published spectroscopic LRD list,,6.0457,list,6.0457,6.038872,3.0
2791,primer-uds-north,71974,34.206489926227896,-5.104734063812756,UDS,2635,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
3000,primer-uds-north,48906,34.207335728898464,-5.137051194188876,UDS,2836,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
3025,primer-uds-north,45817,34.20742618263621,-5.141352449717158,UDS,2837,2,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
3170,primer-uds-north,57664,34.20792132209774,-5.124814105278233,UDS,2995,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
3359,primer-uds-north,53718,34.20849468630022,-5.130172752303009,UDS,3168,1,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
3422,primer-uds-north,53226,34.20868641308769,-5.130802406686148,UDS,3228,1,False,False,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
3749,primer-uds-north,80345,34.20983895841481,-5.091602454891138,UDS,3539,1,True,True,False,False,False,False,False,False,True,True,False,True,False,0.0,False,False,comparison object,not established V-shaped and in no LRD list,,,,,,
